Supplementary Table S4. Essential genes in R. palustris CGA009 and homologs in related organisms.												Best C. crescentus Homolog							Best E. coli Homolog					
Locus	PID	Start	Stop	Length (bp)	Strand	Gene	Product	COGs	Functional Group	Functional Sub-group	Total Cc homologs?	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in Cc NA1000? (Christen et al., 2011)"	Total Ec homologs	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in MG1655? (Baba et al., 2006)"
RPA2659	39935725	3026154	3027512	1359	+	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Amino acid metabolism	1	CCNA_02389	-	glucosamine-1-phosphat	7E-142	50%	essential	1	b3730	glmU	fused N-acetyl glucosamine-1-phosphate	5E-102	40%	essential
RPA2660	39935726	3027638	3029464	1827	+	glmS	glucosamine--fructose-6-phosphate aminotransferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Amino acid metabolism	1	CCNA_00117	-	glucosamine-fructose-6-phosphat	0E+00	58%	essential	1	b3729	glmS	L-glutamine:D-fructose-6-phosphate	0E+00	50%	essential
RPA2667	39935733	3041681	3042427	747	+	-	invasion associated locus B	[R] General function prediction only	Conserved domain proteins	Conserved domain proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2671	39935737	3044646	3045842	1197	-	-	2-octaprenyl-6-methoxyphenyl hydroxylase	"[H] Coenzyme transport and metabolism, [C] Energy production and conversion"	Metabolism	Ubiquinone biosynthesis	1	CCNA_00106	-	2-polyprenyl-6-methoxyphenol hydroxylase	1E-47	30%	essential	4	b2906	visC	predicted oxidoreductase with FAD/NAD(P)-binding	4E-52	30%	Nonessential
RPA2688	39935754	3060369	3060842	474	+	smpB	SsrA-binding protein	"[O] Posttranslational modification, protein turnover, chaperones"	Translation	trans-Translation	1	CCNA_01254	smpB	SsrA-binding protein	2E-72	62%	High_Fitness_Costs	1	b2620	smpB	trans-translation protein	6E-37	38%	Nonessential
RPA2692	39935758	3063234	3063626	393	+	rnpO	DNA-directed RNA polymerase subunit omega	[K] Transcription	Transcription	Transcription	2	CCNA_01621	-	DNA-directed RNA polymerase omega chain	6E-35	39%	Nonessential	1	b3649	rpoZ	"RNA polymerase, omega subunit"	3E-18	25%	Nonessential
RPA2696	39935762	3067767	3068525	759	+	lepB2	peptidase S26A signal peptidase I	"[U] Intracellular trafficking, secretion, and vesicular transport"	Proteases/Peptidases	Peptidases	2	CCNA_01629	-	signal peptidase I	5E-74	46%	High_Fitness_Costs	1	b2568	lepB	leader peptidase (signal peptidase I)	5E-43	40%	essential
RPA2703	39935769	3072963	3075224	2262	+	parC	DNA topoisomerase IV subunit A	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	2	CCNA_01637	-	topoisomerase IV subunit A	0E+00	55%	essential	2	b3019	parC	"DNA topoisomerase IV, subunit A"	3E-173	38%	Nonessential
RPA2706	39935772	3077204	3078577	1374	+	-	manganese transport protein MntH	[P] Inorganic ion transport and metabolism	Transport	Transport	0	no C. crescentus homolog found						1	b2392	mntH	manganese/divalent cation transporter	2E-92	37%	Nonessential
RPA2712	39935779	3084385	3085437	1053	-	hemB	delta-aminolevulinic acid dehydratase	[H] Coenzyme transport and metabolism	Metabolism	Heme biosynthesis	1	CCNA_01409	-	delta-aminolevulinic acid dehydratase	6E-151	60%	essential	1	b0369	hemB	5-aminolevulinate dehydratase	4E-90	42%	essential
RPA2715	39935782	3088091	3088609	519	+	-	MarR family transcriptional regulator	[K] Transcription	Transcriptional regulators	Transcriptional regulators	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2724	39935791	3093944	3095242	1299	+	glyA	serine hydroxymethyltransferase	[E] Amino acid transport and metabolism	Metabolism	Folate biosynthesis	1	CCNA_01419	-	serine hydroxymethyltransferase	0E+00	67%	Nonessential	1	b2551	glyA	serine hydroxymethyltransferase	2E-159	55%	Nonessential
RPA2725	39935792	3095345	3095827	483	+	nrdR	transcriptional regulator NrdR	[K] Transcription	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01420	-	NrdR family transcriptional regulator	2E-72	62%	Nonessential	1	b0413	nrdR	conserved protein	1E-42	42%	Nonessential
RPA2726	39935793	3095824	3096993	1170	+	ribD	riboflavin biosynthesis protein RibD	[H] Coenzyme transport and metabolism	Metabolism	Riboflavin biosynthesis	1	CCNA_00929	-	Riboflavin-specific deaminase family protein	6E-29	24%	Nonessential	1	b0414	ribD	fused	5E-82	38%	essential
RPA2727	39935794	3097004	3097612	609	+	ribC	riboflavin synthase subunit alpha	[H] Coenzyme transport and metabolism	Metabolism	Riboflavin biosynthesis	1	CCNA_00930	-	riboflavin synthase alpha chain	3E-40	39%	Nonessential	1	b1662	ribC	"riboflavin synthase, alpha subunit"	8E-29	33%	essential
RPA2728	39935795	3097743	3098234	492	+	ribH	"6,7-dimethyl-8-ribityllumazine synthase"	[H] Coenzyme transport and metabolism	Metabolism	Riboflavin biosynthesis	2	CCNA_01421	-	"6,7-dimethyl-8-ribityllumazine synthase"	3E-42	40%	High_Fitness_Costs	1	b0415	ribE	riboflavin synthase beta chain	1E-27	37%	essential
RPA2730	39935797	3098958	3099938	981	+	thiL	thiamine-monophosphate kinase	[H] Coenzyme transport and metabolism	Metabolism	Thiamine biosynthesis	1	CCNA_01423	-	thiamine-monophosphate kinase	2E-63	41%	essential	2	b0417	thiL	thiamin-monophosphate kinase	7E-56	40%	essential
RPA2737	39935804	3108667	3109152	486	-	-	SmpA/OmlA	"[J] Translation, ribosomal structure and biogenesis"	Outer membrane proteins	Outer membrane proteins	1	CCNA_01427	bamE	beta-barrel assembly machine (BAM) protein BamE	8E-22	26%	essential	0	no E. coli homolog found					
RPA2739	39935806	3109815	3110381	567	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	1	CCNA_01430	-	hypothetical protein	3E-18	27%	Nonessential	0	no E. coli homolog found					
RPA2740	39935807	3110622	3111683	1062	+	plsX	glycerol-3-phosphate acyltransferase PlsX	[I] Lipid transport and metabolism	Metabolism	Central metabolism	1	CCNA_01431	-	fatty acid/phospholipid synthesis protein plsX	6E-113	48%	essential	1	b1090	plsX	probable phosphate acyltransferase	8E-71	36%	Nonessential
RPA2767	39935834	3139021	3139485	465	+	rplM	50S ribosomal protein L13	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01440	-	LSU ribosomal protein L13P	1E-69	60%	essential	1	b3231	rplM	50S ribosomal subunit protein L13	1E-60	54%	essential
RPA2768	39935835	3139487	3139969	483	+	rpsI	30S ribosomal protein S9	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01441	-	SSU ribosomal protein S9P	5E-76	68%	essential	1	b3230	rpsI	30S ribosomal subunit protein S9	7E-49	44%	essential
RPA2775	39935842	3146572	3147264	693	+	-	thymidylate kinase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01900	-	thymidylate kinase	1E-64	49%	essential	1	b1098	tmk	thymidylate kinase	1E-41	37%	essential
RPA2776	39935843	3147261	3148316	1056	+	-	DNA polymerase III subunit delta'	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	2	CCNA_01899	-	"DNA polymerase III, delta' subunit"	4E-60	39%	essential	1	b1099	holB	"DNA polymerase III, delta prime subunit"	2E-15	21%	essential
RPA2777	39935844	3148397	3149941	1545	+	metG	methionyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_01547	-	methionyl-tRNA synthetase	6E-45	29%	essential	1	b2114	metG	methionyl-tRNA synthetase	5E-52	25%	essential
RPA2814	39935881	3188088	3188591	504	-	ssb	single-stranded DNA-binding protein	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	1	CCNA_01535	-	single-strand DNA binding protein	4E-67	65%	essential	1	b4059	ssb	single-stranded DNA-binding protein	2E-54	56%	essential
RPA2830	39935897	3203644	3204762	1119	-	secF	preprotein translocase subunit SecF	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_02069	-	protein translocase subunit secF	2E-93	38%	essential	1	b0409	secF	SecYEG protein translocase auxillary subunit	1E-70	32%	essential
RPA2831	39935898	3204788	3206389	1602	-	secD	preprotein translocase subunit SecD	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_02070	-	protein translocase subunit secD	1E-164	47%	essential	1	b0408	secD	SecYEG protein translocase auxillary subunit	5E-111	39%	essential
RPA2837	39935904	3212596	3214011	1416	-	lppB	peptidase M23B	[M] Cell wall/membrane/envelope biogenesis	Proteases/Peptidases	Peptidases	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2845	39935910	3220208	3221512	1305	-	serS	seryl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_02078	serS	seryl-tRNA synthetase	0E+00	63%	essential	1	b0893	serS	"seryl-tRNA synthetase, also charges"	1E-142	51%	essential
RPA2847	39935912	3222083	3222898	816	-	tatC	Sec-independent protein translocase TatC	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	1	CCNA_02080	-	Sec-independent protein translocase protei	2E-73	49%	essential	1	b3839	tatC	TatABCE protein translocation system subunit	1E-51	34%	Nonessential
RPA2849	39935914	3223621	3223857	237	-	tatA	twin-arginine translocation protein TatA	"[U] Intracellular trafficking, secretion, and vesicular transport"	Secretion	Secretion	2	CCNA_02082	-	Sec-independent protein translocase protei	4E-19	38%	essential	2	b0627	tatE	TatABCE protein translocation system subunit	1E-09	33%	Nonessential
RPA2851	39935916	3225323	3226156	834	-	-	chromosome segregation and condensation protein ScpA	[S] Function unknown	"Cell cycle, cell division & cell envelope"	Cell division	1	CCNA_02084	scpA	chromosome segregation and condensation protei	6E-61	42%	Nonessential	0	no E. coli homolog found					
RPA2854	39935919	3228952	3230745	1794	-	argS	arginyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_03469	-	arginyl-tRNA synthetase	3E-25	27%	essential	1	b1876	argS	arginyl-tRNA synthetase	3E-31	26%	essential
RPA2862	39935927	3238277	3239098	822	-	exoR	exopolysaccharide regulatory protein exoR	[R] General function prediction only	Sensing and signalling	Regulation of two-component systems	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA2867	39935932	3244431	3245465	1035	-	-	pyruvate dehydrogenase E1 subunit alpha	[C] Energy production and conversion	Metabolism	Central metabolism	1	CCNA_01799	-	pyruvate dehydrogenase E1 component alph	4E-164	67%	High_Fitness_Costs	0	no E. coli homolog found					
RPA2868	39935933	3245618	3245935	318	-	-	septum formation initiator	"[D] Cell cycle control, cell division, chromosome partitioning"	"Cell cycle, cell division & cell envelope"	Cell division	2	CCNA_01797	ftsB	FtsB-related septum formation initiator	1E-16	32%	High_Fitness_Costs	1	b2742	nlpD	activator of AmiC murein hydrolase activity	7E-06	27%	Nonessential
RPA2874	39935939	3250857	3252140	1284	-	eno	phosphopyruvate hydratase	[G] Carbohydrate transport and metabolism	Metabolism	Glycolysis	1	CCNA_01795	-	phosphopyruvate hydratase	0E+00	73%	High_Fitness_Costs	1	b2779	eno	enolase	0E+00	63%	essential
RPA2879	39935944	3258126	3258989	864	-	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Amino acid metabolism	1	CCNA_01496	-	2-dehydro-3-deoxyphosphooctonate aldolase	2E-132	67%	essential	1	b1215	kdsA	3-deoxy-D-manno-octulosonate 8-phosphate	3E-88	44%	essential
RPA2886	39935951	3262627	3264258	1632	-	pyrG	CTP synthetase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01791	-	CTP synthase	0E+00	73%	High_Fitness_Costs	1	b2780	pyrG	CTP synthetase	0E+00	57%	essential
RPA2890	39935955	3267977	3268993	1017	+	trpD	anthranilate phosphoribosyltransferase	[E] Amino acid transport and metabolism	Metabolism	Amino acid metabolism	1	CCNA_01975	-	anthranilate phosphoribosyltransferase	2E-114	51%	Nonessential	1	b1263	trpD	fused glutamine amidotransferase (component II)	6E-73	35%	Nonessential
RPA2905	39935970	3282795	3284477	1683	-	glnS	glutaminyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Metabolism	Central metabolism	0	no C. crescentus homolog found						1	b0680	glnS	glutamyl-tRNA synthetase	0E+00	55%	essential
RPA2906	39935971	3284639	3286060	1422	+	gltX	glutamyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	2	CCNA_01982	-	glutamyl-tRNA synthetase	2E-163	52%	essential	1	b2400	gltX	glutamyl-tRNA synthetase	2E-134	44%	essential
RPA2907	39935972	3286211	3287515	1305	+	gltA	type II citrate synthase	[C] Energy production and conversion	Metabolism	Central metabolism	2	CCNA_01983	-	citrate synthase	0E+00	67%	Nonessential	2	b0720	gltA	citrate synthase	0E+00	64%	Nonessential
RPA2909	39935974	3288404	3289585	1182	-	lpxB	lipid-A-disaccharide synthase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_01986	lpxB	lipid-A-disaccharide synthase	5E-73	38%	essential	1	b0182	lpxB	tetraacyldisaccharide-1-P synthase	1E-53	32%	essential
RPA2910	39935975	3289582	3290439	858	-	-	hypothetical protein	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_01987	lpxI	"UDP-2,3-diacylglucosamine pyrophosphatase LpxI"	1E-53	38%	essential	0	no E. coli homolog found					
RPA2911	39935976	3290458	3291300	843	-	lpxA	UDP-N-acetylglucosamine acyltransferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_01988	lpxA	UDP-N-acetylglucosamine O-acyltransferase LpxA	4E-79	43%	essential	1	b0181	lpxA	UDP-N-acetylglucosamine acetyltransferase	5E-74	42%	essential
RPA2912	39935977	3291309	3291764	456	-	fabZ	(3R)-hydroxymyristoyl-ACP dehydratase	[I] Lipid transport and metabolism	Metabolism	Lipids/LPS/Fatty acid metabolism	2	CCNA_01989	-	(3R)-hydroxymyristoyl-ACP dehydratase FabZ	1E-43	40%	essential	2	b0180	fabZ	(3R)-hydroxymyristol acyl carrier protein	2E-44	42%	essential
RPA2913	39935978	3291764	3292846	1083	-	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	[M] Cell wall/membrane/envelope biogenesis	Metabolism	Lipids/LPS/Fatty acid metabolism	1	CCNA_01990	lpxD	UDP-3-O-(3-hydroxymyristoyl) glucosamin	8E-76	41%	essential	1	b0179	lpxD	UDP-3-O-(3-hydroxymyristoyl)-glucosamine	1E-52	34%	essential
RPA2914	39935979	3292876	3295401	2526	-	-	outer membrane protein	[M] Cell wall/membrane/envelope biogenesis	Outer membrane proteins	Outer membrane proteins	1	CCNA_01992	bamA	beta-barrel assembly machine (BAM) protein BamA	0E+00	37%	essential	1	b0177	bamA	outer membrane protein assembly factor	1E-77	27%	essential
RPA2915	39935980	3295574	3296725	1152	-	-	"peptidase M50, membrane-associated zinc metallopeptidase"	[M] Cell wall/membrane/envelope biogenesis	Proteases/Peptidases	Peptidases	1	CCNA_01993	mmpA	membrane endopeptidase MmpA	5E-84	40%	Nonessential	0	no E. coli homolog found					
RPA2916	39935981	3296771	3297994	1224	-	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	[I] Lipid transport and metabolism	Metabolism	Isoprenoid biosynthesis	1	CCNA_01994	-	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1E-122	50%	essential	1	b0173	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	2E-110	44%	essential
RPA2918	39935983	3298853	3299611	759	-	uppS	undecaprenyl pyrophosphate synthase	[I] Lipid transport and metabolism	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_01996	-	undecaprenyl pyrophosphate synthetase	2E-80	44%	essential	1	b0174	ispU	undecaprenyl pyrophosphate synthase	3E-74	43%	essential
RPA2919	39935984	3299823	3300383	561	-	frr	ribosome recycling factor	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome recycling	1	CCNA_01997	-	ribosome recycling factor (RRF)	5E-67	54%	essential	1	b0172	frr	ribosome recycling factor	3E-55	45%	essential
RPA2920	39935985	3300449	3301165	717	-	pyrH	uridylate kinase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	2	CCNA_01998	-	uridylate kinase	4E-83	50%	essential	1	b0171	pyrH	uridylate kinase	6E-81	49%	essential
RPA2921	39935986	3301233	3302159	927	-	tsf	elongation factor Ts	"[J] Translation, ribosomal structure and biogenesis"	Transcription	Transcription	1	CCNA_01999	-	translation elongation factor Ts (EF-Ts)	2E-102	53%	essential	1	b0170	tsf	protein chain elongation factor EF-Ts	9E-71	44%	essential
RPA2924	39935989	3306165	3309620	3456	-	dnaE	DNA polymerase III subunit alpha	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	"DNA replication, recomb & repair"	2	CCNA_02003	dnaE	DNA polymerase III alpha subunit	0E+00	52%	essential	1	b0184	dnaE	DNA polymerase III alpha subunit	0E+00	42%	essential
RPA2926	39935991	3310911	3311609	699	-	-	lipoprotein ABC transporter ATP-binding protein	[V] Defense mechanisms	Lipoproteins	Lipoproteins	42	CCNA_02006	-	lipoprotein releasing system ATP-binding protei	1E-76	51%	essential	68	b0495	ybbA	predicted transporter subunit: ATP-binding	1E-63	42%	Nonessential
RPA2927	39935992	3311621	3312901	1281	-	-	lipoprotein releasing system transmembrane protein LolC/E family	[M] Cell wall/membrane/envelope biogenesis	Lipoproteins	Lipoproteins	2	CCNA_02007	-	lipoprotein releasing system transmembran	2E-135	46%	essential	2	b1118	lolE	lipoprotein-releasing system transmembrane	1E-63	30%	essential
RPA2928	39935993	3312981	3314297	1317	-	proS	prolyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_02008	-	prolyl-tRNA synthetase	0E+00	71%	essential	1	b1719	thrS	threonyl-tRNA synthetase	2E-17	20%	essential
RPA2936	39936001	3320699	3321505	807	-	birA	biotin--acetyl-CoA-carboxylase ligase	[H] Coenzyme transport and metabolism	Metabolism	Biotin metabolism	1	CCNA_02014	-	Biotin-(acetyl-CoA carboxylase) ligase	4E-40	35%	essential	1	b3973	birA	bifunctional biotin-[acetylCoA carboxylase]	2E-22	26%	essential
RPA2937	39936002	3321506	3322945	1440	-	nuoN1	NADH dehydrogenase subunit N	[C] Energy production and conversion	Metabolism	NAD/NADP	2	CCNA_02015	nuoN	NADH-quinone oxidoreductase chain N	3E-131	47%	essential	1	b2276	nuoN	"NADH:ubiquinone oxidoreductase, membrane subunit"	1E-64	29%	Nonessential
RPA2938	39936003	3322965	3324482	1518	-	nuoM1	NADH dehydrogenase subunit M	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02016	nuoM	NADH-quinone oxidoreductase chain M	0E+00	64%	essential	3	b2277	nuoM	"NADH:ubiquinone oxidoreductase, membrane subunit"	1E-106	38%	Nonessential
RPA2939	39936004	3324483	3326576	2094	-	nuoL1	NADH dehydrogenase subunit L	"[C] Energy production and conversion, [P] Inorganic ion transport and metabolism"	Metabolism	NAD/NADP	1	CCNA_02017	nuoL	NADH-quinone oxidoreductase chain L	0E+00	51%	essential	1	b2278	nuoL	"NADH:ubiquinone oxidoreductase, membrane subunit"	9E-120	33%	Nonessential
RPA2940	39936005	3326636	3326947	312	-	nuoK1	NADH dehydrogenase subunit K	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02018	nuoK	NADH-quinone oxidoreductase chain K	6E-42	73%	essential	1	b2279	nuoK	"NADH:ubiquinone oxidoreductase, membrane subunit"	3E-18	36%	Nonessential
RPA2941	39936006	3326944	3327582	639	-	nuoJ1	NADH dehydrogenase subunit J	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02019	nuoJ	NADH-quinone oxidoreductase chain J	6E-70	56%	essential	1	b2280	nuoJ	"NADH:ubiquinone oxidoreductase, membrane subunit"	2E-19	25%	Nonessential
RPA2942	39936007	3327592	3328080	489	-	nuoI1	NADH dehydrogenase subunit I	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02020	nuoI	NADH-quinone oxidoreductase chain I	4E-91	75%	essential	3	b2281	nuoI	"NADH:ubiquinone oxidoreductase, chain I"	4E-30	33%	Nonessential
RPA2943	39936008	3328088	3329113	1026	-	nuoH1	NADH dehydrogenase subunit H	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02022	nuoH	NADH-quinone oxidoreductase chain H	6E-132	63%	essential	2	b2282	nuoH	"NADH:ubiquinone oxidoreductase, membrane subunit"	6E-84	38%	Nonessential
RPA2944	39936009	3329123	3331207	2085	-	nuoG1	NADH dehydrogenase subunit G	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02023	nuoG	NADH-quinone oxidoreductase chain G	0E+00	61%	essential	1	b2283	nuoG	"NADH:ubiquinone oxidoreductase, chain G"	5E-58	28%	Nonessential
RPA2945	39936010	3331204	3332529	1326	-	nuoF1	NADH dehydrogenase I subunit F	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02024	nuoF	NADH-quinone oxidoreductase chain F	0E+00	74%	essential	1	b2284	nuoF	"NADH:ubiquinone oxidoreductase, chain F"	4E-106	40%	Nonessential
RPA2949	39936014	3334480	3335688	1209	-	nuoD	NADH dehydrogenase subunit D	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02029	nuoD	NADH-quinone oxidoreductase chain D	0E+00	75%	essential	3	b2286	nuoC	"NADH:ubiquinone oxidoreductase, fused CD"	4E-100	39%	Nonessential
RPA2950	39936015	3335740	3336354	615	-	nuoC	NADH dehydrogenase subunit C	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02031	nuoC	NADH-quinone oxidoreductase chain C	2E-88	60%	essential	2	b2286	nuoC	"NADH:ubiquinone oxidoreductase, fused CD"	5E-24	25%	Nonessential
RPA2951	39936016	3336368	3336964	597	-	nuoB1	NADH dehydrogenase subunit B	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02032	nuoB	NADH-quinone oxidoreductase chain B	2E-103	77%	essential	3	b2287	nuoB	"NADH:ubiquinone oxidoreductase, chain B"	5E-52	40%	Nonessential
RPA2952	39936017	3336976	3337341	366	-	nuoA1	NADH dehydrogenase subunit A	[C] Energy production and conversion	Metabolism	NAD/NADP	1	CCNA_02033	nuoA	NADH-quinone oxidoreductase chain A	1E-59	72%	essential	2	b2288	nuoA	"NADH:ubiquinone oxidoreductase, membrane subunit"	4E-22	31%	Nonessential
RPA2953	39936018	3338656	3338967	312	+	hupA	DNA-binding protein HU-alpha	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	DNA-binding proteins (protective)	4	CCNA_02416	-	DNA-binding protein HU	1E-23	37%	Nonessential	4	b4000	hupA	"HU, DNA-binding transcriptional regulator, alpha"	4E-22	36%	Nonessential
RPA2959	39936024	3349571	3352003	2433	-	lon	ATP-dependent protease La	"[O] Posttranslational modification, protein turnover, chaperones"	Proteases/Peptidases	Proteases	1	CCNA_02037	lon	ATP-dependent endopeptidase Lon	0E+00	67%	Nonessential	1	b0439	lon	DNA-binding ATP-dependent protease La	0E+00	60%	Nonessential
RPA2960	39936025	3352313	3353587	1275	-	clpX	ATP-dependent protease ATP-binding subunit ClpX	"[O] Posttranslational modification, protein turnover, chaperones"	Proteases/Peptidases	Proteases	1	CCNA_02039	clpX	"ATP-dependent endopeptidase clp, ATP-bindin"	0E+00	82%	High_Fitness_Costs	1	b0438	clpX	ATPase and specificity subunit of ClpX-ClpP	0E+00	70%	Nonessential
RPA2961	39936026	3353980	3354618	639	-	clpP	endopeptidase Clp	"[O] Posttranslational modification, protein turnover, chaperones, [U] Intracellular trafficking, secretion, and vesicular transport"	Proteases/Peptidases	Peptidases	1	CCNA_02041	clpP	"ATP-dependent endopeptidase clp, proteolyti"	3E-113	70%	essential	1	b0437	clpP	proteolytic subunit of ClpA-ClpP and ClpX-ClpP	8E-100	60%	Nonessential
RPA2977	39936042	3372218	3375991	3774	+	nrd	ribonucleotide-diphosphate reductase subunit alpha	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3043	39936106	3443227	3445002	1776	-	aspS	aspartyl-tRNA synthetase	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_01969	-	aspartyl-tRNA synthetase	0E+00	68%	essential	1	b1866	aspS	aspartyl-tRNA synthetase	1E-155	42%	essential
RPA3049	39936112	3452843	3453532	690	-	-	hypothetical protein	"[L] Replication, recombination and repair"	Hypothetical proteins	Hypothetical proteins	2	CCNA_01783	hdaA	chromosome replication regulator protein HdaA	4E-30	37%	essential	2	b3702	dnaA	chromosomal replication initiator protein DnaA	1E-06	21%	essential
RPA3051	39936114	3454375	3455448	1074	+	purM	phosphoribosylaminoimidazole synthetase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01775	-	phosphoribosylformylglycinamidine cyclo-ligase	4E-140	56%	Nonessential	1	b2499	purM	phosphoribosylaminoimidazole synthetase	9E-116	50%	Nonessential
RPA3056	39936119	3458619	3459041	423	-	ndk	nucleoside diphosphate kinase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01770	-	nucleoside diphosphate kinase	1E-70	69%	essential	1	b2518	ndk	multifunctional nucleoside diphosphate kinase	7E-52	52%	Nonessential
RPA3061	39936124	3464110	3465276	1167	+	-	permease YjgP/YjgQ	[R] General function prediction only	Transport	Transport	1	CCNA_01762	-	YjgP/YjgQ family membrane permease	1E-35	27%	essential	0	no E. coli homolog found					
RPA3062	39936125	3465290	3466375	1086	+	-	permease YjgP/YjgQ	[R] General function prediction only	Transport	Transport	2	CCNA_01761	-	YjgP/YjgQ family membrane permease	6E-69	36%	essential	1	b4262	lptG	lipopolysaccharide export ABC permease	2E-18	23%	essential
RPA3063	39936126	3466375	3468888	2514	+	-	organic solvent tolerance protein	[M] Cell wall/membrane/envelope biogenesis	Stress response	Stress response	1	CCNA_01760	-	OstA-like organic solvent tolerance protein	8E-80	25%	essential	0	no E. coli homolog found					
RPA3064	39936127	3468967	3469893	927	+	-	hypothetical protein	not in COGs	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA3069	39936132	3474243	3474905	663	-	gmk	guanylate kinase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_01753	gmk	guanylate kinase	2E-68	44%	essential	2	b3648	gmk	guanylate kinase	4E-63	43%	essential
RPA3071	39936134	3475897	3477153	1257	-	-	aminodeoxychorismate lyase	[R] General function prediction only	Metabolism	Folate biosynthesis	1	CCNA_01751	-	aminodeoxychorismate lyase	6E-92	39%	High_Fitness_Costs	1	b1097	yceG	"septation protein, ampicillin sensitivity"	6E-55	22%	Nonessential
RPA3073	39936136	3478718	3478957	240	-	acpP	acyl carrier protein	"[Q] Secondary metabolites biosynthesis, transport and catabolism, [I] Lipid transport and metabolism"	Metabolism	Lipids/LPS/Fatty acid metabolism	2	CCNA_01749	-	acyl carrier protein	3E-38	75%	essential	2	b1094	acpP	acyl carrier protein (ACP)	4E-30	59%	essential
